Brand,Title,Size,Price,List Price,Discount %,Rating,Review Count,Link
Safari,Safari,Medium,4799,27997,82.86,4.0,0,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0F67G7R9M/ref=sr_1_11?dib=eyJ2IjoiMSJ9.TjyGWVjANMUYJ81SCTsN0HRsl8roM4TyrEXGVXmfyFIjHnEg07E194bMiNXXDQ7LmQQl1PFv55hW6ZOfyt7hS7N5mM5zjsEZLvMwUZDK1s5abP6v-Cn9yAhNSejae0Hj6i-Feo6mCtkha_pfR-lW2cIELS6IMOGEtqCljC4wzHp4UObq0R3Hj9RA3KOI_vjQB79HD9yMd52PDDWqZLHEsj0ky9eamZQ3PpxBXFKE1-oDK2YqszI49WxADOk5ipK61FI75o3G_uCftFlLTglPp_vLeJXVQQ1JwSDViSkdCKU.iXM5RduQ0r-fG1u4LegXDLJzvTVr4DOgRxfkTuEOBw4&dib_tag=se&keywords=Safari+luggage&qid=1775060166&sr=8-11
Safari,Safari,Medium,2299,10999,79.1,4.2,0,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097GR45SS/ref=sr_1_12?dib=eyJ2IjoiMSJ9.TjyGWVjANMUYJ81SCTsN0HRsl8roM4TyrEXGVXmfyFIjHnEg07E194bMiNXXDQ7LmQQl1PFv55hW6ZOfyt7hS7N5mM5zjsEZLvMwUZDK1s5abP6v-Cn9yAhNSejae0Hj6i-Feo6mCtkha_pfR-lW2cIELS6IMOGEtqCljC4wzHp4UObq0R3Hj9RA3KOI_vjQB79HD9yMd52PDDWqZLHEsj0ky9eamZQ3PpxBXFKE1-oDK2YqszI49WxADOk5ipK61FI75o3G_uCftFlLTglPp_vLeJXVQQ1JwSDViSkdCKU.iXM5RduQ0r-fG1u4LegXDLJzvTVr4DOgRxfkTuEOBw4&dib_tag=se&keywords=Safari+luggage&qid=1775060166&sr=8-12
Safari,Safari,Medium,2299,10999,79.1,4.2,0,https://www.amazon.in/Safari-Polypropylene-Pentagon-Wheeling-Suitcase/dp/B097BH2T5B/ref=sr_1_13?dib=eyJ2IjoiMSJ9.TjyGWVjANMUYJ81SCTsN0HRsl8roM4TyrEXGVXmfyFIjHnEg07E194bMiNXXDQ7LmQQl1PFv55hW6ZOfyt7hS7N5mM5zjsEZLvMwUZDK1s5abP6v-Cn9yAhNSejae0Hj6i-Feo6mCtkha_pfR-lW2cIELS6IMOGEtqCljC4wzHp4UObq0R3Hj9RA3KOI_vjQB79HD9yMd52PDDWqZLHEsj0ky9eamZQ3PpxBXFKE1-oDK2YqszI49WxADOk5ipK61FI75o3G_uCftFlLTglPp_vLeJXVQQ1JwSDViSkdCKU.iXM5RduQ0r-fG1u4LegXDLJzvTVr4DOgRxfkTuEOBw4&dib_tag=se&keywords=Safari+luggage&qid=1775060166&sr=8-13
Safari,Safari,Medium,2499,9800,74.5,4.0,0,https://www.amazon.in/Safari-Polycarbonate-Wheeling-Speed_Wheel-Suitcase/dp/B097JLP1SV/ref=sr_1_14?dib=eyJ2IjoiMSJ9.TjyGWVjANMUYJ81SCTsN0HRsl8roM4TyrEXGVXmfyFIjHnEg07E194bMiNXXDQ7LmQQl1PFv55hW6ZOfyt7hS7N5mM5zjsEZLvMwUZDK1s5abP6v-Cn9yAhNSejae0Hj6i-Feo6mCtkha_pfR-lW2cIELS6IMOGEtqCljC4wzHp4UObq0R3Hj9RA3KOI_vjQB79HD9yMd52PDDWqZLHEsj0ky9eamZQ3PpxBXFKE1-oDK2YqszI49WxADOk5ipK61FI75o3G_uCftFlLTglPp_vLeJXVQQ1JwSDViSkdCKU.iXM5RduQ0r-fG1u4LegXDLJzvTVr4DOgRxfkTuEOBw4&dib_tag=se&keywords=Safari+luggage&qid=1775060166&sr=8-14
Safari,Safari,Medium,1599,7199,77.79,4.1,0,https://www.amazon.in/Safari-Trolley-Polycarbonate-Wheeling-Suitcase/dp/B0FNDBNFDB/ref=sr_1_15?dib=eyJ2IjoiMSJ9.TjyGWVjANMUYJ81SCTsN0HRsl8roM4TyrEXGVXmfyFIjHnEg07E194bMiNXXDQ7LmQQl1PFv55hW6ZOfyt7hS7N5mM5zjsEZLvMwUZDK1s5abP6v-Cn9yAhNSejae0Hj6i-Feo6mCtkha_pfR-lW2cIELS6IMOGEtqCljC4wzHp4UObq0R3Hj9RA3KOI_vjQB79HD9yMd52PDDWqZLHEsj0ky9eamZQ3PpxBXFKE1-oDK2YqszI49WxADOk5ipK61FI75o3G_uCftFlLTglPp_vLeJXVQQ1JwSDViSkdCKU.iXM5RduQ0r-fG1u4LegXDLJzvTVr4DOgRxfkTuEOBw4&dib_tag=se&keywords=Safari+luggage&qid=1775060166&sr=8-15
Skybags,Skybags,Medium,2499,7790,67.92,4.2,0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTQzNTgwMjkyODExOTA6MTc3NTA2MDE4NDpzcF9hdGY6MzAwMTU3MzM2NzQxMTMyOjowOjo&url=%2FSkybags-Footloose-Polyester-Softsided-STRUW68EBLU%2Fdp%2FB073JWDLXZ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.XzVehHMTCz2kvErcl1o2G9xMbD9JEt8Esmr8zaDFWBofS5u-D4FEJdP7tbtqEiY911VcLKf8p0ED6c_KDuVmanfN6g5QX17VoEcPWTjtKNeJlLHsMNx6m2fgzpWF8jDtrQDKm1NUB70rzX1vuwvW5sJ74HV50HYiSv8TkwumHJDoysxnltBD2lQVVgHDwblSckg6oA37fU1rQrZisfWkLDSAF7Ga-1zSp09vNxRJyYYANRPR4uwF1Qkv3uuGDutlHQIepn1G6csQb7Uy-d6kpQ3g7Lp4KT5cqyE6HCWyeL8.dD_odFpZZt5qE1O8iBAb-ug9fGhnnQZlTSFjjctq-Tg%26dib_tag%3Dse%26keywords%3DSkybags%2Bluggage%26qid%3D1775060184%26sr%3D8-1-spons%26aref%3DLDQjR7vz1i%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=LDQjR7vz1i&sp_cr=ZAZ
Skybags,Skybags,Medium,3744,10920,65.71,4.2,0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTQzNTgwMjkyODExOTA6MTc3NTA2MDE4NDpzcF9hdGY6MzAwMzE3OTgxNDAyMTMyOjowOjo&url=%2FSkybags-Trooper-Luggage-Resetable-Combination%2Fdp%2FB0C8ZF42YV%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.XzVehHMTCz2kvErcl1o2G9xMbD9JEt8Esmr8zaDFWBofS5u-D4FEJdP7tbtqEiY911VcLKf8p0ED6c_KDuVmanfN6g5QX17VoEcPWTjtKNeJlLHsMNx6m2fgzpWF8jDtrQDKm1NUB70rzX1vuwvW5sJ74HV50HYiSv8TkwumHJDoysxnltBD2lQVVgHDwblSckg6oA37fU1rQrZisfWkLDSAF7Ga-1zSp09vNxRJyYYANRPR4uwF1Qkv3uuGDutlHQIepn1G6csQb7Uy-d6kpQ3g7Lp4KT5cqyE6HCWyeL8.dD_odFpZZt5qE1O8iBAb-ug9fGhnnQZlTSFjjctq-Tg%26dib_tag%3Dse%26keywords%3DSkybags%2Bluggage%26qid%3D1775060184%26sr%3D8-2-spons%26aref%3DR8Wx3ATRxr%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=R8Wx3ATRxr&sp_cr=ZAZ
Skybags,Skybags,Medium,2249,7500,70.01,4.2,0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTQzNTgwMjkyODExOTA6MTc3NTA2MDE4NDpzcF9hdGY6MzAwODA4MDUyODMyMDMyOjowOjo&url=%2FSkybags-Hardside-Combination-Polypropylene-International%2Fdp%2FB0FFBBFSY3%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.XzVehHMTCz2kvErcl1o2G9xMbD9JEt8Esmr8zaDFWBofS5u-D4FEJdP7tbtqEiY911VcLKf8p0ED6c_KDuVmanfN6g5QX17VoEcPWTjtKNeJlLHsMNx6m2fgzpWF8jDtrQDKm1NUB70rzX1vuwvW5sJ74HV50HYiSv8TkwumHJDoysxnltBD2lQVVgHDwblSckg6oA37fU1rQrZisfWkLDSAF7Ga-1zSp09vNxRJyYYANRPR4uwF1Qkv3uuGDutlHQIepn1G6csQb7Uy-d6kpQ3g7Lp4KT5cqyE6HCWyeL8.dD_odFpZZt5qE1O8iBAb-ug9fGhnnQZlTSFjjctq-Tg%26dib_tag%3Dse%26keywords%3DSkybags%2Bluggage%26qid%3D1775060184%26sr%3D8-3-spons%26aref%3DMT6cBHQPgH%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=MT6cBHQPgH&sp_cr=ZAZ
Skybags,Urban Jungle,Medium,8245,9499,13.2,4.2,0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTQzNTgwMjkyODExOTA6MTc3NTA2MDE4NDpzcF9hdGY6MzAwNzg5MjA2NjI1NDMyOjowOjo&url=%2FUrban-Jungle-Lumolite-Capacity-Polycarbonate%2Fdp%2FB097B4V2NX%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.XzVehHMTCz2kvErcl1o2G9xMbD9JEt8Esmr8zaDFWBofS5u-D4FEJdP7tbtqEiY911VcLKf8p0ED6c_KDuVmanfN6g5QX17VoEcPWTjtKNeJlLHsMNx6m2fgzpWF8jDtrQDKm1NUB70rzX1vuwvW5sJ74HV50HYiSv8TkwumHJDoysxnltBD2lQVVgHDwblSckg6oA37fU1rQrZisfWkLDSAF7Ga-1zSp09vNxRJyYYANRPR4uwF1Qkv3uuGDutlHQIepn1G6csQb7Uy-d6kpQ3g7Lp4KT5cqyE6HCWyeL8.dD_odFpZZt5qE1O8iBAb-ug9fGhnnQZlTSFjjctq-Tg%26dib_tag%3Dse%26keywords%3DSkybags%2Bluggage%26qid%3D1775060184%26sr%3D8-4-spons%26aref%3DVmHon63wng%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=VmHon63wng&sp_cr=ZAZ
Skybags,Skybags,Medium,3099,9050,65.76,4.2,0,https://www.amazon.in/Skybags-Polyester-Softsided-Luggage-STRUB78EBLU/dp/B07HCRSLFY/ref=sr_1_5?dib=eyJ2IjoiMSJ9.XzVehHMTCz2kvErcl1o2G9xMbD9JEt8Esmr8zaDFWBofS5u-D4FEJdP7tbtqEiY911VcLKf8p0ED6c_KDuVmanfN6g5QX17VoEcPWTjtKNeJlLHsMNx6m2fgzpWF8jDtrQDKm1NUB70rzX1vuwvW5sJ74HV50HYiSv8TkwumHJDoysxnltBD2lQVVgHDwblSckg6oA37fU1rQrZisfWkLDSAF7Ga-1zSp09vNxRJyYYANRPR4uwF1Qkv3uuGDutlHQIepn1G6csQb7Uy-d6kpQ3g7Lp4KT5cqyE6HCWyeL8.dD_odFpZZt5qE1O8iBAb-ug9fGhnnQZlTSFjjctq-Tg&dib_tag=se&keywords=Skybags+luggage&qid=1775060184&sr=8-5
